note,start_time,end_time,status_id,created_at,updated_at,donor_id
"notas : 8.629 - 8.630 e 8.631
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/6350c556-5900-4f2f-83a1-a760ea27b848",2025-07-30 18:00:22.357,2025-07-30 19:00:22.357,4,2025-07-30 18:00:24.29903,2025-07-30 18:00:24.29903,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-08-06 18:30:32.307,2025-08-06 21:00:32.307,4,2025-08-06 20:18:35.308045,2025-08-06 20:18:35.308045,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas = 8.578 E 8.579
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/6ffd8a39-843b-43d2-aa54-ae8920171896",2025-07-24 16:30:36.526,2025-07-24 18:30:36.526,4,2025-07-24 16:28:38.961999,2025-07-24 16:28:38.961999,7c2166f9-688b-40c6-8f2f-55113a223be4
nota 8.372 e 8.373,2025-07-01 17:00:54.777,2025-07-01 19:00:54.777,4,2025-07-01 16:56:57.445421,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-08-02 16:30:33.145,2025-08-02 19:30:33.145,4,2025-08-02 16:11:36.051077,2025-08-02 16:11:36.051077,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas: 8.582 e 8.583
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/33f2c392-ac6d-419f-8f47-320fb73cacaf",2025-07-25 17:00:08.545,2025-07-25 19:00:08.545,4,2025-07-25 16:35:10.914862,2025-07-25 16:35:10.914862,7c2166f9-688b-40c6-8f2f-55113a223be4
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/800aef4d-d056-4275-ae00-7a85cc227e46,2025-07-26 16:00:37.651,2025-07-26 19:30:37.651,4,2025-07-26 15:57:40.350401,2025-07-26 15:57:40.350401,7c2166f9-688b-40c6-8f2f-55113a223be4
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/bf1084a9-d3c3-4cd5-9511-879c4e1762d1,2025-07-28 20:30:03.062,2025-07-28 23:00:03.062,4,2025-07-28 20:23:07.148503,2025-07-28 20:23:07.148503,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas: 8.622 e 8.623
Coleta: https://infineat-production.herokuapp.com/admin/donation_packs/fd1ed02d-b517-4cef-8b4c-36c2f8746d70",2025-07-29 16:00:53.796,2025-07-29 18:00:53.796,4,2025-07-29 14:51:55.972769,2025-07-29 14:51:55.972769,7c2166f9-688b-40c6-8f2f-55113a223be4
Completada via app antigo: https://infineat-production.herokuapp.com/admin/donation_packs/56933cf2-c38c-48eb-9bca-a5c4735cfad2,2025-08-09 15:45:46.397,2025-08-09 19:30:46.397,4,2025-08-09 15:33:49.589619,2025-08-09 15:33:49.589619,7c2166f9-688b-40c6-8f2f-55113a223be4
